Destination No,"Length
 (cm)",Width (cm),Height (cm),"Volume
(cm^3)",Weight (gs),Commodity,Fragile,Inflammable,Fits_Hugo (RATE)
18,62.5,8,8.5,4250,981,Unknown,0,0,0.028333333
18,63,22.8,6.7,9623.88,173,Unknown,0,0,0.0641592
18,30,28.7,6,5166,1640,Unknown,0,0,0.03444
18,38.5,30,18,20790,631,Unknown,0,0,0.1386
18,48.3,47,35,79453.5,9000,Unknown,0,0,0.52969
18,44,32.7,11.5,16546.2,1516,Unknown,0,0,0.110308
1,30,19.2,21.2,12211.2,10750,Unknown,0,0,0.081408
1,30,19.2,21.2,12211.2,10750,Unknown,0,0,0.081408
1,30,19.2,21.2,12211.2,10750,Unknown,0,0,0.081408
1,30,19.2,21.2,12211.2,10750,Unknown,0,0,0.081408
1,38.5,26,28,28028,6000,Unknown,0,0,0.186853333
1,38.5,26,28,28028,6000,Unknown,0,0,0.186853333
1,38.5,26,28,28028,6000,Unknown,0,0,0.186853333
1,38.5,26,28,28028,6000,Unknown,0,0,0.186853333
1,38.5,26,28,28028,6000,Unknown,0,0,0.186853333
8,18,13,8.5,1989,143,Unknown,0,0,0.01326
8,26.3,24.5,18,11598.3,814,Unknown,0,0,0.077322
8,32,23.5,7,5264,864,Unknown,0,0,0.035093333
8,31,18,17,9486,1090,Unknown,0,0,0.06324
8,47.5,31,31,45647.5,4475,Unknown,0,0,0.304316667
8,38.3,23,41,36116.9,2590,Unknown,0,0,0.240779333
8,35,34.5,35.4,42745.5,22410,Unknown,0,0,0.28497
8,38.2,23.2,41,36335.84,2600,Unknown,0,0,0.242238933
8,26,21,1,546,154,Unknown,0,0,0.00364
8,43.2,23.5,33,33501.6,3000,Unknown,0,0,0.223344
8,58.5,22.5,33,43436.25,4000,Unknown,0,0,0.289575
8,55,35,21,40425,6000,Unknown,0,0,0.2695
12,39,19.4,14.7,11122.02,432,Unknown,0,0,0.0741468
12,31.5,23.3,17.2,12623.94,1915,Unknown,0,0,0.0841596
12,26,19.8,34,17503.2,845,Unknown,0,0,0.116688
12,39.5,21.6,21.6,18429.12,3020,Unknown,0,0,0.1228608
12,31,17.8,17,9380.6,875,Unknown,0,0,0.062537333
12,21.5,4,31,2666,178,Unknown,0,0,0.017773333
12,21.5,21.5,41.5,19183.375,2112,Unknown,0,0,0.127889167
12,17.5,17.5,31,9493.75,1431,Unknown,0,0,0.063291667
12,18.4,14.5,21,5602.8,177,Unknown,0,0,0.037352
12,21,18.5,14.5,5633.25,402,Unknown,0,0,0.037555
12,18.5,15,14.5,4023.75,180,Unknown,0,0,0.026825
12,39.5,21.5,21.5,18258.875,4880,Unknown,0,0,0.121725833
12,21.5,18.5,14.6,5807.15,410,Unknown,0,0,0.038714333
12,40.5,23,19.5,18164.25,3190,Unknown,0,0,0.121095
12,40.5,23,19.5,18164.25,3190,Unknown,0,0,0.121095
12,33.5,26,26.5,23081.5,11500,Unknown,0,0,0.153876667
12,33.5,26,26.5,23081.5,11500,Unknown,0,0,0.153876667
12,33.5,26,26.5,23081.5,11500,Unknown,0,0,0.153876667
12,33.5,26,26.5,23081.5,11500,Unknown,0,0,0.153876667
12,33.5,26,26.5,23081.5,11500,Unknown,0,0,0.153876667
12,33.5,26,26.5,23081.5,11500,Unknown,0,0,0.153876667
12,47,22.5,24,25380,12950,Unknown,0,0,0.1692
12,25.4,11.5,15,4381.5,502,Unknown,0,0,0.02921
12,32,27,1,864,992,Unknown,0,0,0.00576
12,54,23.5,35,44415,5120,Unknown,0,0,0.2961
14,16.5,8.6,13.5,1915.65,371,Unknown,0,0,0.012771
14,26.5,21,1,556.5,101,Unknown,0,0,0.00371
14,26.5,18.3,30,14548.5,4180,Unknown,0,0,0.09699
14,60,39.5,18.5,43845,15500,Unknown,0,0,0.2923
14,59.5,39.5,20,47005,19300,Unknown,0,0,0.313366667
14,41.5,32,23.5,31208,2852,Unknown,0,0,0.208053333
14,38.5,30,19,21945,4025,Unknown,0,0,0.1463
14,38,29,13,14326,2534,Unknown,0,0,0.095506667
14,43,31.5,40,54180,6752,Unknown,0,0,0.3612
7,24.7,19,16,7508.8,2428,Unknown,0,0,0.050058667
7,24.7,19,16,7508.8,2428,Unknown,0,0,0.050058667
7,24.7,19,16,7508.8,2428,Unknown,0,0,0.050058667
7,24.7,19,16,7508.8,2428,Unknown,0,0,0.050058667
7,24.7,19,16,7508.8,2428,Unknown,0,0,0.050058667
7,24.7,19,16,7508.8,2428,Unknown,0,0,0.050058667
7,24.7,19,16,7508.8,2428,Unknown,0,0,0.050058667
7,24.7,19,16,7508.8,2428,Unknown,0,0,0.050058667
7,24.7,19,16,7508.8,2428,Unknown,0,0,0.050058667
7,24.7,19,16,7508.8,2428,Unknown,0,0,0.050058667
7,27.5,20.5,17.4,9809.25,899,Unknown,0,0,0.065395
7,33.5,24,1,804,233,Unknown,0,0,0.00536
7,39.5,29.8,4.2,4943.82,634,Unknown,0,0,0.0329588
7,31.5,23,7.5,5433.75,661,Unknown,0,0,0.036225
7,26,17,14,6188,401,Unknown,0,0,0.041253333
7,24.6,18.5,15.5,7054.05,205,Unknown,0,0,0.047027
7,31.5,23,6.5,4709.25,294,Unknown,0,0,0.031395
7,22,11.6,10,2552,256,Unknown,0,0,0.017013333
7,24,21.2,24.5,12465.6,546,Unknown,0,0,0.083104
7,50.5,36.5,19,35021.75,1427,Unknown,0,0,0.233478333
7,39.5,19.8,24.2,18926.82,10000,Unknown,0,0,0.1261788
7,39.5,19.8,24.2,18926.82,10000,Unknown,0,0,0.1261788
7,34.5,22.2,19,14552.1,2952,Unknown,0,0,0.097014
26,31,22.5,1,697.5,471,Unknown,0,0,0.00465
26,33.5,23.5,4,3149,1074,Unknown,0,0,0.020993333
26,34.7,27,8,7495.2,2692,Unknown,0,0,0.049968
26,13,8.7,18,2035.8,363,Unknown,0,0,0.013572
26,32,23,17,12512,1980,Unknown,0,0,0.083413333
26,32,23,10.2,7507.2,963,Unknown,0,0,0.050048
26,32,12,7.5,2880,617,Unknown,0,0,0.0192
5,93.5,38.4,24.5,87964.8,NA,Unknown,0,0,0.586432
5,44.5,33,33,48460.5,4020,Unknown,0,0,0.32307
3,33.5,23.5,4.5,3542.625,2428,Unknown,0,0,0.0236175
3,38.5,29.5,9,10221.75,4175,Unknown,0,0,0.068145
5,74.5,13.5,11,11063.25,3245,Unknown,0,0,0.073755
2,80,50,45,180000,5000,Unknown,0,0,1.2
18,68,30.5,60,124440,21000,Electronic product,0,0,0.8296
18,16,4.5,51.5,3708,802,IT infrastructure,0,0,0.02472
18,38.5,30,18,20790,867,IT infrastructure,0,0,0.1386
18,38.5,30,18,20790,867,IT infrastructure,0,0,0.1386
18,25,24.5,1.5,918.75,1974,IT infrastructure,0,0,0.006125
18,28.5,30.3,6,5181.3,1000,IT infrastructure,0,0,0.034542
18,28.5,30.3,6,5181.3,1000,IT infrastructure,0,0,0.034542
18,44,32.5,11,15730,4000,IT infrastructure,0,0,0.104866667
18,58,40,20.5,47560,1000,IT infrastructure,0,0,0.317066667
8,50.7,53,47.6,127905.96,8000,Electronic product,1,0,0.8527064
8,41,26.5,25.5,27705.75,7800,Laboratory equipment,0,0,0.184705
8,41,26.5,25.5,27705.75,7800,Laboratory equipment,0,0,0.184705
8,41,26.5,25.5,27705.75,7800,Laboratory equipment,0,0,0.184705
8,46.5,38,34.5,60961.5,3500,Machinary,0,0,0.40641
8,47.5,33,27.5,43106.25,2000,Laboratory equipment,0,0,0.287375
8,55.5,31,21.5,36990.75,6350,Laboratory equipment,1,0,0.246605
8,55,35,13.5,25987.5,1000,Other,0,0,0.17325
8,59.5,39.4,21,49230.3,2200,Daily necessities,0,0,0.328202
8,33,25,16.5,13612.5,2000,Laboratory equipment,0,0,0.09075
8,17.5,16.5,4.5,1299.375,1000,Machinary,0,0,0.0086625
8,32,22.7,10,7264,1000,IT infrastructure,0,0,0.048426667
8,44,33,11,15972,1000,IT infrastructure,0,0,0.10648
8,40.5,23,20.5,19095.75,13000,Electronic product,0,0,0.127305
12,23,22.5,8.7,4502.25,236,Laboratory equipment,1,0,0.030015
12,39,39,38.3,58254.3,1180,Laboratory equipment,1,1,0.388362
12,60,41,47,115620,17600,Laboratory equipment,1,1,0.7708
12,38.5,29,39,43543.5,2210,Laboratory equipment,0,0,0.29029
12,22,16.5,13.5,4900.5,418,Medical supply,0,1,0.03267
12,25,19.2,33,15840,2366,Laboratory equipment,1,1,0.1056
12,25,19.2,33,15840,2366,Laboratory equipment,1,1,0.1056
12,33.5,23.5,4.5,3542.625,1538,Unknown,0,0,0.0236175
12,38.5,28,38.5,41503,1700,Laboratory equipment,0,0,0.276686667
12,38.5,28,38.5,41503,2210,Laboratory equipment,1,1,0.276686667
12,40,26.5,32.5,34450,1770,Laboratory equipment,1,1,0.229666667
12,38.5,28,38.5,41503,3550,Laboratory equipment,1,0,0.276686667
14,38.5,26,21,21021,12000,Machinary,1,0,0.14014
14,49.5,30,41,60885,N/A,Clothes,0,0,0.4059
14,49.5,30,41,60885,N/A,Clothes,0,0,0.4059
14,49.5,30,41,60885,N/A,Clothes,0,0,0.4059
14,49.5,30,41,60885,N/A,Clothes,0,0,0.4059
14,49.5,30,41,60885,N/A,Clothes,0,0,0.4059
14,49.5,30,41,60885,N/A,Clothes,0,0,0.4059
14,49.5,30,41,60885,N/A,Clothes,0,0,0.4059
14,49.5,30,41,60885,N/A,Clothes,0,0,0.4059
14,31,22,2.5,1705,1500,Unknown,0,0,0.011366667
14,26,21.5,16.5,9223.5,1200,Machinary,0,0,0.06149
14,26.5,16.5,13.5,5902.875,1000,Other,0,0,0.0393525
14,60,60,30.5,109800,15300,Unknown,1,0,0.732
27,33.5,24,2,1608,1000,Unknown,0,0,0.01072
26,82,45,14,51660,15000,IT infrastructure,0,0,0.3444
2,29,20.5,16,9512,1000,Machinary,0,0,0.063413333
3,35.5,24.5,1,869.75,1000,Books,0,0,0.005798333
7,39,29.5,19.5,22434.75,1000,Electronic product,1,0,0.149565
7,63,41.3,31.2,81179.28,10000,Other,0,0,0.5411952
7,35,28.5,28,27930,25000,Electronic product,0,0,0.1862
7,44,32.5,33,47190,18000,IT infrastructure,0,0,0.3146
1,38,29,13,14326,5500,Tools and supplies,0,0,0.095506667
1,37,12.5,12.5,5781.25,1000,Machinary,0,0,0.038541667
18,67,41.5,16,44488,9000,IT infrastructure,0,0,0.296586667
18,67,41.5,16,44488,9000,IT infrastructure,0,0,0.296586667
18,67,41.5,16,44488,9000,IT infrastructure,0,0,0.296586667
18,67,41.5,16,44488,9000,IT infrastructure,0,0,0.296586667
8,30.5,16,16,7808,150,Electronic product,0,0,0.052053333
8,29,19.2,11,6124.8,800,Tools and supplies,0,0,0.040832
8,64.5,13.5,11.5,10013.625,452,Laboratory equipment,1,0,0.0667575
8,64.5,13.5,11.5,10013.625,452,Laboratory equipment,1,0,0.0667575
8,22.5,16,7.5,2700,420,IT infrastructure,0,0,0.018
8,36,36,27,34992,1000,Laboratory equipment,1,0,0.23328
8,32,23,10,7360,1061,IT infrastructure,0,0,0.049066667
8,32.4,23.5,17,12943.8,1000,IT infrastructure,0,0,0.086292
8,32.5,23,7,5232.5,1000,IT infrastructure,0,0,0.034883333
8,45.5,32,14,20384,5000,IT infrastructure,0,0,0.135893333
8,46,38.8,17,30341.6,2500,IT infrastructure,0,0,0.202277333
8,60.2,42,16.5,41718.6,2500,IT infrastructure,1,0,0.278124
8,60.2,42,16.5,41718.6,2500,IT infrastructure,1,0,0.278124
26,33.5,24,5.5,4422,1344,Books,0,0,0.02948
26,33.7,23,3,2325.3,650,Books,0,0,0.015502
26,32,23,7,5152,300,IT infrastructure,0,0,0.034346667
3,25,17,8,3400,1000,Unknown,0,0,0.022666667
3,33.5,24,3,2412,1314,Books,0,0,0.01608
3,33.5,24,3,2412,1885,Books,0,0,0.01608
18,30,28.7,6,5166,1641,IT infrastructure,0,0,0.03444
18,30,28.7,6,5166,1641,IT infrastructure,0,0,0.03444
18,30,28.7,6,5166,1641,IT infrastructure,0,0,0.03444
18,37.5,33,7.5,9281.25,2129,IT infrastructure,0,0,0.061875
18,37.5,33,7.5,9281.25,2129,IT infrastructure,0,0,0.061875
18,31.5,23,7,5071.5,500,IT infrastructure,0,0,0.03381
18,45,23.5,7,7402.5,1000,IT infrastructure,0,0,0.04935
18,49.5,23.5,13,15122.25,1400,IT infrastructure,0,0,0.100815
18,51,31.5,16.5,26507.25,800,IT infrastructure,0,0,0.176715
18,37,30,8,8880,400,IT infrastructure,0,0,0.0592
18,37,30,8,8880,400,IT infrastructure,0,0,0.0592
18,38,30,18,20520,1000,IT infrastructure,0,0,0.1368
1,31,22.5,1,697.5,300,Books,0,0,0.00465
1,31,22.5,1,697.5,800,Books,0,0,0.00465
1,33.5,24,4,3216,2000,Books,0,0,0.02144
1,68.5,32.5,17.5,38959.375,3000,Laboratory equipment,0,0,0.259729167
1,35.5,23,7,5715.5,2030,Books,0,0,0.038103333
1,33.5,24.5,17,13952.75,400,Laboratory equipment,0,0,0.093018333
8,42,26,26.5,28938,1200,Machinary,0,0,0.19292
8,42,26,26.5,28938,1200,Machinary,0,0,0.19292
8,42,26,26.5,28938,1200,Machinary,0,0,0.19292
8,42,26,26.5,28938,1200,Machinary,0,0,0.19292
8,42,26,26.5,28938,1200,Machinary,0,0,0.19292
8,42,26,26.5,28938,1200,Machinary,0,0,0.19292
8,42,26,26.5,28938,1200,Machinary,0,0,0.19292
8,42,26,26.5,28938,1200,Machinary,0,0,0.19292
8,42,26,26.5,28938,1200,Machinary,0,0,0.19292
8,42,26,26.5,28938,1200,Machinary,0,0,0.19292
8,42,26,26.5,28938,1200,Machinary,0,0,0.19292
8,23,23,5,2645,300,Electronic product,0,0,0.017633333
8,59.5,39.5,12,28203,2700,Daily necessities,0,0,0.18802
8,58.5,40,41,95940,1800,Laboratory equipment,0,0,0.6396
8,24,16.5,5,1980,500,Electronic product,1,0,0.0132
8,35.5,23,7,5715.5,3140,Books,0,0,0.038103333
8,47.5,33,43.5,68186.25,2000,Machinary,0,0,0.454575
12,41,26.5,26,28249,7800,Laboratory equipment,0,0,0.188326667
12,41,26.5,26,28249,7800,Laboratory equipment,0,0,0.188326667
12,41,26.5,26,28249,7800,Laboratory equipment,0,0,0.188326667
12,41,26.5,26,28249,7800,Laboratory equipment,0,0,0.188326667
12,41,26.5,26,28249,7800,Laboratory equipment,0,0,0.188326667
12,26.5,22.5,19.5,11626.875,188,Laboratory equipment,1,0,0.0775125
12,27,19,17.5,8977.5,2150,Laboratory equipment,1,0,0.05985
12,18,21,1,378,100,Electronic product,0,0,0.00252
12,24.5,21,1,514.5,100,Electronic product,0,0,0.00343
12,29.5,19,11.5,6445.75,368,Laboratory equipment,1,0,0.042971667
12,33,25,27.5,22687.5,4000,Tools and supplies,0,0,0.15125
12,31,26,15,12090,1740,Tools and supplies,1,0,0.0806
12,49.5,40,31,61380,5000,Laboratory equipment,0,0,0.4092
14,30,29,25,21750,6470,Machinary,0,0,0.145
14,30,29,25,21750,6470,Machinary,0,0,0.145
14,30,29,25,21750,6470,Machinary,0,0,0.145
14,30,29,25,21750,6470,Machinary,0,0,0.145
14,30,29,25,21750,6470,Machinary,0,0,0.145
14,45.5,33.5,18,27436.5,2971,Machinary,0,0,0.18291
14,26,12,11,3432,1000,Tools and supplies,0,0,0.02288
14,26,12,11,3432,1000,Tools and supplies,0,0,0.02288
14,26,20,1,520,1000,Tools and supplies,0,0,0.003466667
14,19,19,11,3971,3120,Tools and supplies,0,0,0.026473333
14,79,39,32,98592,7200,Tools and supplies,0,0,0.65728
7,22,18,1,396,100,Electronic product,0,0,0.00264
7,20,17.5,6,2100,400,Electronic product,0,0,0.014
7,40,30,3.5,4200,100,Electronic product,0,0,0.028
7,67,41.5,16,44488,9000,IT infrastructure,0,0,0.296586667
7,67,41.5,16,44488,9000,IT infrastructure,0,0,0.296586667
7,21,21,26.5,11686.5,8815,Laboratory equipment,1,0,0.07791
7,21,21,26.5,11686.5,8815,Laboratory equipment,1,0,0.07791
7,30,28.5,6,5130,1634,IT infrastructure,0,0,0.0342
7,31,27.5,13,11082.5,1000,Games,0,0,0.073883333
7,38,29,29.5,32509,3000,IT infrastructure,0,0,0.216726667
26,32,23,10.5,7728,1818,IT infrastructure,0,0,0.05152
26,39.5,29,26,29783,3000,Other,0,0,0.198553333
5,38.5,30,10,11550,1200,Books,0,0,0.077
18,18,12.5,8.5,1912.5,400,Electronic product,0,0,0.01275
18,31.5,23.3,17,12477.15,600,IT infrastructure,0,0,0.083181
18,31.5,23.2,6.5,4750.2,100,Unknown,0,0,0.031668
18,61.5,37.5,17,39206.25,7000,IT infrastructure,0,0,0.261375
18,44,33,12,17424,4000,IT infrastructure,0,0,0.11616
18,44,33,12,17424,4000,IT infrastructure,0,0,0.11616
18,34,21.5,4,2924,400,IT infrastructure,0,0,0.019493333
1,83,50,7,29050,10000,Tools and supplies,0,0,0.193666667
1,31.5,22.5,6.8,4819.5,200,Unknown,0,0,0.03213
1,69,33,18,40986,3000,Laboratory equipment,0,0,0.27324
8,60,39,22,51480,19900,Daily necessities,0,0,0.3432
8,23,21,3,1449,500,Tools and supplies,0,0,0.00966
8,47.5,33,28,43890,1800,Laboratory equipment,1,0,0.2926
8,57,41,25,58425,1800,Machinary,0,0,0.3895
8,39,20,30,23400,10590,Tools and supplies,0,0,0.156
8,39,20,30,23400,10590,Tools and supplies,0,0,0.156
8,39,20,30,23400,10590,Tools and supplies,0,0,0.156
8,39,20,30,23400,10590,Tools and supplies,0,0,0.156
8,42,27.5,16,18480,300,Tools and supplies,0,0,0.1232
8,20,17.5,14,4900,3000,Laboratory equipment,0,0,0.032666667
8,34.5,23,6,4761,400,Machinary,0,0,0.03174
8,32,23,10,7360,800,Unknown,0,0,0.049066667
8,34,28,21,19992,8645,Tools and supplies,0,0,0.13328
12,26,22.2,19.5,11255.4,300,Laboratory equipment,1,0,0.075036
12,26,22.2,19.5,11255.4,300,Laboratory equipment,1,0,0.075036
12,26,22.2,19.5,11255.4,300,Laboratory equipment,1,0,0.075036
12,35,23,23,18515,5286,Laboratory equipment,0,0,0.123433333
12,35,23,23,18515,5286,Laboratory equipment,0,0,0.123433333
12,40,22,21,18480,400,Laboratory equipment,1,0,0.1232
12,34,25,1,850,200,Laboratory equipment,0,0,0.005666667
12,39,20,30,23400,13000,Laboratory equipment,0,1,0.156
12,39,20,30,23400,13000,Laboratory equipment,0,1,0.156
12,39,20,30,23400,13000,Laboratory equipment,0,1,0.156
12,39,23,25,22425,6000,Rubber products,0,0,0.1495
12,39,23,25,22425,6000,Rubber products,0,0,0.1495
12,50,36.5,25.5,46537.5,3000,Laboratory equipment,0,0,0.31025
12,41,27,28,30996,7800,Laboratory equipment,0,0,0.20664
12,41,27,28,30996,7800,Laboratory equipment,0,0,0.20664
12,41,27,28,30996,7800,Laboratory equipment,0,0,0.20664
12,33,25,17,14025,300,Laboratory equipment,1,0,0.0935
12,33,25,17,14025,300,Laboratory equipment,1,0,0.0935
12,33,25,17,14025,300,Laboratory equipment,1,0,0.0935
12,22.5,17.5,13.5,5315.625,400,Other,0,0,0.0354375
12,35,20,11,7700,1000,Laboratory equipment,0,0,0.051333333
12,35,20,14,9800,1000,Laboratory equipment,1,0,0.065333333
12,35,20,14,9800,1000,Laboratory equipment,1,0,0.065333333
12,25,27,12,8100,800,Machinary,0,0,0.054
12,28.5,21.5,22.5,13786.875,7200,Tools and supplies,1,0,0.0919125
12,29,25.5,24,17748,6000,Rubber products,0,0,0.11832
14,34.5,34.5,26,30946.5,2000,Laboratory equipment,0,0,0.20631
14,57.5,39,24,53820,662,Laboratory equipment,0,0,0.3588
14,57.5,39,24,53820,662,Laboratory equipment,0,0,0.3588
14,57.5,39,24,53820,662,Laboratory equipment,0,0,0.3588
14,50,31,21,32550,722,Laboratory equipment,1,0,0.217
14,50,31,21,32550,722,Laboratory equipment,1,0,0.217
14,23,13,9,2691,1000,Machinary,0,0,0.01794
14,38,29,30,33060,3000,Machinary,0,0,0.2204
14,18,12.5,8.5,1912.5,300,Electronic product,0,0,0.01275
14,41,21,24,20664,6000,Tools and supplies,0,0,0.13776
14,27,16.5,13.5,6014.25,400,Machinary,0,0,0.040095
7,23,18,12,4968,500,Unknown,0,0,0.03312
26,34,25.5,27,23409,10080,Tools and supplies,0,0,0.15606
26,34,24,1,816,1000,Books,0,0,0.00544
26,32,23,7,5152,200,Unknown,0,0,0.034346667
3,39.5,28.5,25,28143.75,6400,Food,0,0,0.187625
17,63,11,11,7623,1000,Electronic product,1,0,0.05082
17,47.5,30,17,24225,900,Electronic product,0,0,0.1615
